EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W
33RR20180918,GP15,3,2,4,GSNIS-4,2,55.0803,-155.7202,1628,405.3,3.8187,34.0912,2
33RR20180918,GP15,3,2,5,GSNIS-5,2,55.0803,-155.7202,1628,406,3.818,34.0919,2
33RR20180918,GP15,3,2,6,GSNIS-6,2,55.0803,-155.7202,1628,403.2,3.8196,34.0907,2
33RR20180918,GP15,3,2,7,GSNIS-7,2,55.0803,-155.7202,1628,304.8,3.8676,33.9795,2
33RR20180918,GP15,3,2,8,GSNIS-8,2,55.0803,-155.7202,1628,303.4,3.8664,33.9788,2
33RR20180918,GP15,3,2,9,GSNIS-9,2,55.0803,-155.7202,1628,305,3.8673,33.9802,2
33RR20180918,GP15,3,2,10,GSNIS-10,2,55.0803,-155.7202,1628,203.2,3.9205,33.8288,2
33RR20180918,GP15,3,2,11,GSNIS-11,2,55.0803,-155.7202,1628,203.5,3.9201,33.8288,2
33RR20180918,GP15,3,2,12,GSNIS-12,2,55.0803,-155.7202,1628,203.3,3.9223,33.8282,2
33RR20180918,GP15,3,2,13,GSNIS-13,2,55.0803,-155.7202,1628,178.6,3.9984,33.781,2
33RR20180918,GP15,3,2,14,GSNIS-14,2,55.0803,-155.7202,1628,176.9,3.9928,33.7731,2
33RR20180918,GP15,3,2,15,GSNIS-15,2,55.0803,-155.7202,1628,178,3.9962,33.7772,2
33RR20180918,GP15,3,2,16,GSNIS-16,2,55.0803,-155.7202,1628,151.7,4.1614,33.6583,2
33RR20180918,GP15,3,2,17,GSNIS-17,2,55.0803,-155.7202,1628,153.2,4.1629,33.6593,2
33RR20180918,GP15,3,2,18,GSNIS-18,2,55.0803,-155.7202,1628,153.6,4.1618,33.6615,2
33RR20180918,GP15,3,2,19,GSNIS-19,2,55.0803,-155.7202,1628,125.2,4.2462,33.3706,2
33RR20180918,GP15,3,2,20,GSNIS-20,2,55.0803,-155.7202,1628,128.7,4.2385,33.393,2
33RR20180918,GP15,3,2,21,GSNIS-21,2,55.0803,-155.7202,1628,126.7,4.2408,33.3814,2
33RR20180918,GP15,3,2,22,GSNIS-22,2,55.0803,-155.7202,1628,100.7,4.3809,33.0021,2
33RR20180918,GP15,3,2,23,GSNIS-23,2,55.0803,-155.7202,1628,104.2,4.36,33.014,2
33RR20180918,GP15,3,2,24,GSNIS-24,2,55.0803,-155.7202,1628,99.8,4.3804,33.0024,2
33RR20180918,GP15,3,2,25,GSNIS-25,2,55.0803,-155.7202,1628,77,4.8667,32.7881,2
33RR20180918,GP15,3,2,26,GSNIS-26,2,55.0803,-155.7202,1628,76.6,4.8635,32.7857,2
33RR20180918,GP15,3,2,27,GSNIS-27,2,55.0803,-155.7202,1628,77.3,4.8646,32.7885,2
33RR20180918,GP15,3,2,28,GSNIS-28,2,55.0803,-155.7202,1628,61.4,5.508,32.7333,2
33RR20180918,GP15,3,2,29,GSNIS-29,2,55.0803,-155.7202,1628,62.1,5.5033,32.7343,2
33RR20180918,GP15,3,2,30,GSNIS-30,2,55.0803,-155.7202,1628,61.3,5.513,32.7331,2
33RR20180918,GP15,3,2,31,GSNIS-31,2,55.0803,-155.7202,1628,36.4,8.831,32.6077,2
33RR20180918,GP15,3,2,32,GSNIS-32,2,55.0803,-155.7202,1628,36.3,8.9106,32.6011,2
33RR20180918,GP15,3,2,33,GSNIS-33,2,55.0803,-155.7202,1628,37.1,8.9475,32.5981,2
33RR20180918,GP15,3,2,34,GSNIS-34,2,55.0803,-155.7202,1628,25.4,13.0529,32.3134,2
33RR20180918,GP15,3,2,35,GSNIS-35,2,55.0803,-155.7202,1628,27,13.0612,32.3132,2
33RR20180918,GP15,3,2,36,GSNIS-36,2,55.0803,-155.7202,1628,26.4,13.0401,32.3151,2
33RR20180918,GP15,3,3,15,GF-15,2,55.0803,-155.7203,1628,299.2,3.8558,33.9847,2
33RR20180918,GP15,3,3,16,GF-22,2,55.0803,-155.7203,1628,299.2,3.8558,33.9847,2
33RR20180918,GP15,3,3,17,GF-21,2,55.0803,-155.7203,1628,174,4.0606,33.8114,2
33RR20180918,GP15,3,3,18,GF-26,2,55.0803,-155.7203,1628,174,4.0606,33.8114,2
33RR20180918,GP15,3,3,19,GF-31,2,55.0803,-155.7203,1628,98.1,4.284,33.1744,3
33RR20180918,GP15,3,3,20,GF-44,2,55.0803,-155.7203,1628,98.1,4.284,33.1744,3
33RR20180918,GP15,3,3,21,GF-37,2,55.0803,-155.7203,1628,58.8,5.4192,32.7688,2
33RR20180918,GP15,3,3,22,GF-47,2,55.0803,-155.7203,1628,58.8,5.4192,32.7688,2
33RR20180918,GP15,3,3,23,GF-45,2,55.0803,-155.7203,1628,30.9,10.2762,32.5278,3
33RR20180918,GP15,3,3,24,GF-49,2,55.0803,-155.7203,1628,30.9,10.2762,32.5278,3
